;;;;;;;;;;;;;;;;
;;;;;;;;;;;orange;;;;;
;;;;;;;;;;orange;;;;;;
;;;;;;;;;orange;yellowhite;orange;;;;;
;;;;;;;;;orange;yellowhite;orange;;;;;
;;;;;;;;;;blue;;;;;;
;;;;;;;;;;blue;;brown;;;;
;;;;;;;;;;blue;brown;brown;brown;;;
;;;;;;;brown;brown;brown;blue;brown;brown;brown;brown;;
;;;;brown;brown;brown;brown;brown;brown;blue;brown;brown;brown;brown;brown;
;;brown;brown;brown;brown;brown;brown;brown;brown;brown;brown;brown;brown;brown;brown;brown
brown;brown;brown;brown;brown;brown;brown;brown;brown;brown;brown;brown;brown;brown;brown;brown;brown
white;white;white;white;white;white;white;white;white;white;white;white;white;white;white;brown;brown
creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;brown;brown
white;white;white;white;white;white;white;white;white;white;white;white;white;white;white;brown;brown
white;white;white;white;white;white;white;white;white;white;white;white;white;white;white;brown;brown
creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;brown;brown
creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;brown;brown
white;white;white;white;white;white;white;white;white;white;white;white;white;white;white;brown;
white;white;white;white;white;white;white;white;white;white;white;white;white;white;white;brown;
creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;creme;brown;
;;;;;;;;;;;;;;;;
